signal,gamma,is_short,lb,hz,th,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做空,negative,True,5,10,0.0015,距Support,far,129,0.0011872403372647725,-0.0013686152199136555,0.8674756206055302,0.29457364341085274,0.32558139534883723
G-做空,negative,True,5,10,0.002,距Support,near,61,0.001085677685462378,-0.0011459256146122035,0.9474242233687968,0.2459016393442623,0.36065573770491804
G-做空,negative,True,5,10,0.002,距Support,medium,64,0.0009811981915534111,-0.0011408284365447645,0.8600751525138813,0.296875,0.3125
G-做空,negative,True,5,10,0.002,距Support,far,62,0.001200804343470808,-0.0016270977930804603,0.7380037933659885,0.27419354838709675,0.43548387096774194
G-做空,negative,True,5,15,0.0005,距Support,near,500,0.0010866097935769777,-0.0010639378983143054,1.0213094159899685,0.254,0.252
G-做空,negative,True,5,15,0.0005,距Support,medium,654,0.0010976895558953478,-0.0010561288583625203,1.0393519192319634,0.24311926605504589,0.24311926605504589
G-做空,negative,True,5,15,0.0005,距Support,far,495,0.001123190773724985,-0.0010838760116917377,1.036272379505737,0.2808080808080808,0.25252525252525254
G-做空,negative,True,5,15,0.001,距Support,near,253,0.001126168399714704,-0.0012183283104008364,0.9243554385961766,0.2727272727272727,0.308300395256917
G-做空,negative,True,5,15,0.001,距Support,medium,317,0.001129266368339587,-0.0012656203802593885,0.8922631034972305,0.2555205047318612,0.26813880126182965
G-做空,negative,True,5,15,0.001,距Support,far,258,0.0013570798147295945,-0.001195815200643241,1.1348574712878776,0.34108527131782945,0.29069767441860467
G-做空,negative,True,5,15,0.0015,距Support,near,131,0.001204191495227133,-0.0012780462202005274,0.9422127902684094,0.31297709923664124,0.366412213740458
G-做空,negative,True,5,15,0.0015,距Support,medium,146,0.001141540632389977,-0.0012784557933994238,0.8929058308340969,0.2534246575342466,0.3287671232876712
G-做空,negative,True,5,15,0.0015,距Support,far,129,0.001453260132082295,-0.0014798672021804286,0.9820206366767702,0.37209302325581395,0.3643410852713178
G-做空,negative,True,5,15,0.002,距Support,near,61,0.001129296087223284,-0.0012477009121279832,0.9051015962609525,0.32786885245901637,0.3770491803278688
G-做空,negative,True,5,15,0.002,距Support,medium,64,0.0011375510877058735,-0.0014894174950706809,0.7637556907117508,0.3125,0.40625
G-做空,negative,True,5,15,0.002,距Support,far,62,0.001471313976479296,-0.0016743346321073437,0.8787454719415779,0.3709677419354839,0.46774193548387094
G-做空,negative,True,5,30,0.0005,距Support,near,500,0.0015115156548136937,-0.0018083748542470223,0.8358419999392571,0.402,0.468
G-做空,negative,True,5,30,0.0005,距Support,medium,654,0.0016536480530264246,-0.0014669721564072057,1.127252515191843,0.42813455657492355,0.3853211009174312
G-做空,negative,True,5,30,0.0005,距Support,far,495,0.0016167149016773938,-0.0015805027260666555,1.0229118083844488,0.41818181818181815,0.40606060606060607
G-做空,negative,True,5,30,0.001,距Support,near,253,0.0014860103379815517,-0.002116248116448226,0.7021909796076159,0.3952569169960474,0.525691699604743
G-做空,negative,True,5,30,0.001,距Support,medium,317,0.0016978823926432783,-0.0016105368657473485,1.0542337954216268,0.416403785488959,0.4037854889589905
G-做空,negative,True,5,30,0.001,距Support,far,258,0.0019221804564763941,-0.0018108332457104027,1.061489488902281,0.4689922480620155,0.45348837209302323
G-做空,negative,True,5,30,0.0015,距Support,near,131,0.001543690524068575,-0.00265956259348279,0.5804302285839635,0.3969465648854962,0.6030534351145038
G-做空,negative,True,5,30,0.0015,距Support,medium,146,0.0018110649823771714,-0.0017039691854929722,1.0628507826291562,0.4452054794520548,0.4589041095890411
